Performance Score,Performance Appraisal Rating,Adaptability,Collaboration,Communication,Conflict Resolution,Decision Making,Drive,Emotional Balance,Empathy,Influence,Innovation,Learning Mindset,Ownership,Positivity,Problem Solving,Resilience,Self Awareness,Sincerity,Structure,Trust
4,Excellent,5,6,5,3,4,10,3,2,6,7,4,3,5,2,5,4,6,8,4
4,Excellent,5,7,7,5,7,8,5,3,5,5,3,6,6,4,5,5,8,7,5
4,Excellent,8,6,8,6,6,8,7,5,7,9,6,7,7,5,6,7,7,9,6
4,Excellent,7,8,7,8,6,9,8,9,8,8,4,8,10,7,8,6,6,9,6
4,Excellent,9,10,9,7,7,8,9,4,8,6,7,8,7,5,6,8,9,8,7
3,Good,2,2,2,1,5,1,2,1,2,2,1,1,2,1,1,2,1,3,5
2.88,Good,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2
3.12,Good,4,4,5,5,4,3,4,2,4,3,1,2,3,1,3,5,1,5,5
3,Good,3,4,5,3,4,4,5,4,3,3,1,2,2,2,2,2,2,5,3
3,Good,4,4,2,3,4,2,4,1,2,2,1,1,5,1,2,3,5,5,4
3.05,Good,5,4,4,2,3,1,1,1,2,6,2,1,2,3,4,1,1,5,4
3,Good,6,5,5,4,7,5,6,4,6,5,4,5,3,5,5,4,2,6,6
3,Good,5,6,4,4,7,5,7,5,6,6,2,1,3,5,4,5,6,6,8
3.23,Good,4,6,3,2,4,1,2,3,3,4,3,2,1,1,1,3,1,6,3
2.88,Good,6,7,7,6,7,7,4,7,7,6,4,6,6,4,7,6,5,7,5
2.88,Good,5,5,4,4,6,4,5,4,4,3,1,3,4,2,3,4,5,7,3
3,Good,5,5,7,6,7,4,7,4,4,6,4,1,4,5,5,5,5,7,5
3,Good,4,5,4,4,5,3,6,3,5,4,2,3,4,3,4,4,2,5,5
3,Good,5,4,7,4,6,7,7,5,4,6,3,7,6,3,6,4,7,7,4
3.12,Good,5,4,4,4,7,5,4,4,3,4,2,6,5,4,3,4,6,7,4
3.12,Good,4,7,6,6,4,3,5,4,5,5,4,6,5,3,3,4,6,6,4
3,Good,8,6,8,6,7,6,6,5,4,6,1,8,7,8,8,4,7,7,3
3,Good,7,8,7,8,8,7,7,8,6,7,4,7,8,4,6,7,7,8,8
3,Good,5,4,3,4,5,5,6,4,4,4,2,4,6,4,5,3,2,6,4
2.76,Good,5,5,3,5,3,3,5,3,4,5,7,3,7,2,5,4,4,5,5
3,Good,2,4,5,3,4,7,4,2,5,6,3,4,5,5,3,2,6,7,3
3,Good,4,5,4,4,4,4,4,3,2,4,1,3,5,2,2,2,7,6,3
2.85,Good,6,5,4,6,6,4,7,3,4,4,3,4,4,5,5,4,5,5,6
3,Good,5,5,3,5,4,4,4,2,3,3,3,3,2,2,4,3,1,6,4
3.12,Good,7,6,6,6,8,1,5,3,6,6,2,6,6,5,7,4,5,7,3
2.77,Good,4,4,4,4,7,5,4,1,2,4,4,2,2,3,4,2,1,6,4
3,Good,7,7,6,7,7,4,6,4,5,6,2,6,6,4,4,6,6,7,7
3,Good,7,7,7,6,6,4,5,6,7,6,4,6,6,6,5,6,5,7,3
